"","title","movieInfo","point","review"
"87","극장판 포켓몬스터 베스트위시 : 비크티니와 흑의 영웅 제크로무","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=86347&target=after","8",""
"88","히트맨","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185838&target=after","10","감독님 프사가...;; "
"89","스타쉽 트루퍼스","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=18682&target=after","10","스토리도 좋고 주인공도 좋고 CG도 좋고 최고의 영화 중의 하나다. "
"90","12번째 솔저","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=172980&target=after","10","처절한 기적, 희망 그리고 자유 "
"91","어니스트 씨프","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=196055&target=after","2","지루하고 쓰레기같네 내돈 만천원이 아깝다 "
"92","극장판 귀멸의 칼날: 무한열차편","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=196051&target=after","10","모든게 완벽했다.그냥 지려버렸다.. "
"93","극장판 귀멸의 칼날: 무한열차편","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=196051&target=after","10","재미 있었어요. 집에와서 애니도 다시 정주행 했어요 "
"94","극장판 귀멸의 칼날: 무한열차편","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=196051&target=after","1","우익 애니 왜 보는것입니까 여러분?딱봐도 욱일기인데 "
"95","소울","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184517&target=after","10","제 인생에 많은 깨달음을 준 영화..목적이 있는 인생을 사는게 아니라 인생을 살아가는거 자체가 목적인 인생을 살아야겠단 생각이 들었다. "
"96","혼 : 공포의 시작","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188367&target=after","10","안녕하세요! 안현빈이라고 합니다. 혼: 공포의 시작은 한국의 공포영화입니다 "
"97","애프터 어스","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=90597&target=after","1","아들새끼 땜에 답답해 OOO 영화 "
"98","리틀 포레스트","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=154449&target=after","10","회사 생활이라는게 내 맘대로 할 수 있는게 많지 않더라고... 왜 사는지도 모르겠고 월급날만 바라보며 꾸역꾸역 살아가는 나를 보는데... 어느 순간 가슴이 터질 것 같더라고.... 이 대사가 내 맘 속에서 꼭 나한테 하는 말 같다 "
"99","미션 파서블","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189124&target=after","10","김영광과 이선빈의코믹액션 연기가괜찮음 "
